start_time_stamp,message_time,message_time_stamp,EyeOpen_message.started,EyeOpen_message.stopped,space_press.keys,space_press.rt,space_press.started,space_press.stopped,eyeopen_start,eyeopen_end,eyeopen_start.started,eyeopen_start.stopped,participant,replicate,date,expName,psychopyVersion,frameRate,
1663057553290,0.0001359589514322579,1663057553290,13.920509332965594,None,space,3.183641917014029,13.920509332965594,None,,,,,samuel,1,2022_Sep_13_1625,EyeOpen-exp,2021.2.3,59.74743244365408,
,,,,,,,,,5.198480499966536,125.1998081249767,19.103711290983483,None,,,,,,,
