difficulty_level,num_session,num_rand,level_loop.thisRepN,level_loop.thisTrialN,level_loop.thisN,level_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,ratings.thisRepN,ratings.thisTrialN,ratings.thisN,ratings.thisIndex,start_time_stamp,True_ans,stim_start,press_key_time,stim_end,key_resp.keys,key_resp.corr,key_resp.rt,accuracy,diff,rating_effort.response,rating_difficulty.response,rating_attention.response,participant,replicate,date,expName,psychopyVersion,frameRate,
low,1,10,0,0,0,0,0,0,0,0,,,,,1663059002242,left,2.9043405409902334,4.337559166015126,5.419758250005543,right,0,1.3639298329944722,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,1,0,1,0,,,,,,left,6.036131999979261,7.268938458000775,8.551289625000209,left,1,1.1772436669562012,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,2,0,2,0,,,,,,right,8.986467499984428,11.475528415990993,11.500429707986768,right,1,2.447981208038982,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,3,0,3,0,,,,,,left,11.98545199999353,13.06652250001207,14.502889125025831,left,1,1.0437143750023097,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,4,0,4,0,,,,,,left,14.954836875025649,15.852180415997282,17.467105958028696,left,1,0.8507540000136942,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,5,0,5,0,,,,,,right,17.920282041013706,19.566360874974634,20.434545875003096,right,1,1.6110018329927698,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,6,0,6,0,,,,,,right,20.968517915986013,22.983944625011645,23.469002666010056,right,1,1.9699382079998031,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,7,0,7,0,,,,,,right,24.020610207982827,26.076552040991373,26.534583124972414,left,0,2.0174359590164386,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,8,0,8,0,,,,,,right,27.03610700002173,28.86661191598978,29.551933165988885,right,1,1.7835631250054576,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,9,0,9,0,,,,,,right,30.01908670802368,32.116835041029844,32.51984587498009,right,1,2.055282916990109,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,80.0,low,4.0,None,None,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,None,3.0,None,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,None,None,4.0,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,1,1,1,0,0,0,0,,,,,,left,43.185030332999304,44.68491804099176,45.68516699998872,left,1,1.458308124972973,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,1,1,1,1,0,1,0,,,,,,right,46.20220983301988,48.53300041600596,48.700293665984645,right,1,2.2984055419801734,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,1,1,1,2,0,2,0,,,,,,right,49.23475366597995,51.559003875008784,51.7332223749836,right,1,2.2902105830144137,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,1,1,1,3,0,3,0,,,,,,left,52.166755500016734,53.384529041009955,54.68498812499456,left,1,1.177528208005242,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,1,1,1,4,0,4,0,,,,,,right,55.25147791602649,56.549913083028514,57.74999016599031,right,1,1.2649287920212373,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,1,1,1,5,0,5,0,,,,,,right,58.20077204098925,60.31654154101852,60.70254670799477,left,0,2.0745788329513744,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
low,1,10,0,1,1,1,6,0,6,0,,,,,,left,61.15025800000876,62.066125290992204,63.65025516599417,left,1,0.8739744169870391,,,,,,samuel,1,2022_Sep_13_1649,Mentalrotate-exp,2021.2.3,60.82245659800537,
